jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2019,230,Winterthur,35-39,Ausland,männlich,1732,false
2019,230,Winterthur,35-39,Ausland,weiblich,1645,false
2019,230,Winterthur,35-39,Schweiz,männlich,3091,false
2019,230,Winterthur,35-39,Schweiz,weiblich,2916,false
2019,230,Winterthur,40-44,Ausland,männlich,1489,false
2019,230,Winterthur,40-44,Ausland,weiblich,1274,false
2019,230,Winterthur,40-44,Schweiz,männlich,2584,false
2019,230,Winterthur,40-44,Schweiz,weiblich,2604,false
2019,230,Winterthur,45-49,Ausland,männlich,1216,false
2019,230,Winterthur,45-49,Ausland,weiblich,1075,false
2019,230,Winterthur,45-49,Schweiz,männlich,2535,false
2019,230,Winterthur,45-49,Schweiz,weiblich,2677,false
2019,230,Winterthur,50-54,Ausland,männlich,1094,false
2019,230,Winterthur,50-54,Ausland,weiblich,883,false
2019,230,Winterthur,50-54,Schweiz,männlich,2884,false
2019,230,Winterthur,50-54,Schweiz,weiblich,3007,false
2019,230,Winterthur,55-59,Ausland,männlich,909,false
2019,230,Winterthur,55-59,Ausland,weiblich,735,false
2019,230,Winterthur,55-59,Schweiz,männlich,2723,false
2019,230,Winterthur,55-59,Schweiz,weiblich,3035,false
2019,230,Winterthur,60-64,Ausland,männlich,601,false
2019,230,Winterthur,60-64,Ausland,weiblich,498,false
2019,230,Winterthur,60-64,Schweiz,männlich,2298,false
2019,230,Winterthur,60-64,Schweiz,weiblich,2461,false
2019,230,Winterthur,65-69,Ausland,männlich,350,false
2019,230,Winterthur,65-69,Ausland,weiblich,343,false
2019,230,Winterthur,65-69,Schweiz,männlich,1847,false
2019,230,Winterthur,65-69,Schweiz,weiblich,2157,false
2019,230,Winterthur,70-74,Ausland,männlich,291,false
2019,230,Winterthur,70-74,Ausland,weiblich,292,false
2019,230,Winterthur,70-74,Schweiz,männlich,1624,false
2019,230,Winterthur,70-74,Schweiz,weiblich,2133,false
2019,230,Winterthur,75-79,Ausland,männlich,295,false
2019,230,Winterthur,75-79,Ausland,weiblich,240,false
2019,230,Winterthur,75-79,Schweiz,männlich,1386,false
2019,230,Winterthur,75-79,Schweiz,weiblich,1898,false
2019,230,Winterthur,80-84,Ausland,männlich,183,false
2019,230,Winterthur,80-84,Ausland,weiblich,207,false
2019,230,Winterthur,80-84,Schweiz,männlich,858,false
2019,230,Winterthur,80-84,Schweiz,weiblich,1430,false
2019,230,Winterthur,85-89,Ausland,männlich,106,false
2019,230,Winterthur,85-89,Ausland,weiblich,83,false
2019,230,Winterthur,85-89,Schweiz,männlich,628,false
2019,230,Winterthur,85-89,Schweiz,weiblich,1018,false
2019,230,Winterthur,90-94,Ausland,männlich,,true
2019,230,Winterthur,90-94,Ausland,weiblich,29,false
2019,230,Winterthur,90-94,Schweiz,männlich,248,false
2019,230,Winterthur,90-94,Schweiz,weiblich,559,false
2019,230,Winterthur,95+,Ausland,männlich,,true
2019,230,Winterthur,95+,Ausland,weiblich,,true
2019,230,Winterthur,95+,Schweiz,männlich,51,false
2019,230,Winterthur,95+,Schweiz,weiblich,150,false
2018,230,Winterthur,00-04,Ausland,männlich,819,false
2018,230,Winterthur,00-04,Ausland,weiblich,780,false
2018,230,Winterthur,00-04,Schweiz,männlich,2307,false
2018,230,Winterthur,00-04,Schweiz,weiblich,2283,false
2018,230,Winterthur,05-09,Ausland,männlich,789,false
2018,230,Winterthur,05-09,Ausland,weiblich,747,false
2018,230,Winterthur,05-09,Schweiz,männlich,2187,false
2018,230,Winterthur,05-09,Schweiz,weiblich,2054,false
2018,230,Winterthur,10-14,Ausland,männlich,699,false
2018,230,Winterthur,10-14,Ausland,weiblich,609,false
2018,230,Winterthur,10-14,Schweiz,männlich,2118,false
2018,230,Winterthur,10-14,Schweiz,weiblich,1921,false
2018,230,Winterthur,15-19,Ausland,männlich,526,false
2018,230,Winterthur,15-19,Ausland,weiblich,421,false
2018,230,Winterthur,15-19,Schweiz,männlich,2085,false
2018,230,Winterthur,15-19,Schweiz,weiblich,1990,false
2018,230,Winterthur,20-24,Ausland,männlich,809,false
2018,230,Winterthur,20-24,Ausland,weiblich,714,false
2018,230,Winterthur,20-24,Schweiz,männlich,2902,false
2018,230,Winterthur,20-24,Schweiz,weiblich,3224,false
2018,230,Winterthur,25-29,Ausland,männlich,1283,false
2018,230,Winterthur,25-29,Ausland,weiblich,1255,false
2018,230,Winterthur,25-29,Schweiz,männlich,3909,false
2018,230,Winterthur,25-29,Schweiz,weiblich,3943,false
2018,230,Winterthur,30-34,Ausland,männlich,1599,false
2018,230,Winterthur,30-34,Ausland,weiblich,1573,false
2018,230,Winterthur,30-34,Schweiz,männlich,3596,false
2018,230,Winterthur,30-34,Schweiz,weiblich,3450,false
2018,230,Winterthur,35-39,Ausland,männlich,1689,false
2018,230,Winterthur,35-39,Ausland,weiblich,1611,false
2018,230,Winterthur,35-39,Schweiz,männlich,2977,false
2018,230,Winterthur,35-39,Schweiz,weiblich,2828,false
2018,230,Winterthur,40-44,Ausland,männlich,1455,false
2018,230,Winterthur,40-44,Ausland,weiblich,1241,false
2018,230,Winterthur,40-44,Schweiz,männlich,2512,false
2018,230,Winterthur,40-44,Schweiz,weiblich,2560,false
2018,230,Winterthur,45-49,Ausland,männlich,1205,false
2018,230,Winterthur,45-49,Ausland,weiblich,1052,false
2018,230,Winterthur,45-49,Schweiz,männlich,2597,false
2018,230,Winterthur,45-49,Schweiz,weiblich,2751,false
2018,230,Winterthur,50-54,Ausland,männlich,1085,false
2018,230,Winterthur,50-54,Ausland,weiblich,906,false
2018,230,Winterthur,50-54,Schweiz,männlich,2974,false
2018,230,Winterthur,50-54,Schweiz,weiblich,3061,false
2018,230,Winterthur,55-59,Ausland,männlich,888,false
2018,230,Winterthur,55-59,Ausland,weiblich,677,false
2018,230,Winterthur,55-59,Schweiz,männlich,2607,false
2018,230,Winterthur,55-59,Schweiz,weiblich,2944,false
